Species	Status	min_age	max_age
Chiroptera	extant	13.82	15.97
Chiroptera	extant	41.3	47.8
Myotis	extant	15.97	16.9
Chiroptera	extant	11.1	13.65
Myotis_murinoides	extinct	11.1	12.75
Chiroptera	extant	16.9	20
Rhinolophus_delphinensis	extinct	13.65	15.97
Eptesicus_campanensis	extinct	13.65	15.97
Hipposideros_morloti	extinct	33.9	38
Hipposideros_schlosseri	extinct	33.9	38
Hipposideros	extant	33.9	38
Palaeophyllophora	extinct	33.9	38
Hipposideridae	extinct	33.9	38
Rhinolophus	extant	33.9	38
Vespertiliavus	extinct	33.9	38
Vespertiliavus	extinct	33.9	38
Hipposideros_morloti	extinct	33.9	38
Hipposideros_schlosseri	extinct	33.9	38
Palaeophyllophora_quercyi	extinct	33.9	38
Rhinolophus_priscus	extinct	33.9	38
Chiroptera	extant	38	41.3
Chiroptera	extant	38	41.3
Hipposideros_schlosseri	extinct	33.9	38
Hipposideros	extant	33.9	38
Palaeophyllophora_oltina	extinct	33.9	38
Rhinolophus_priscus	extinct	33.9	38
Vespertiliavus_gracilis	extinct	33.9	38
Vespertiliavus	extinct	33.9	38
Stehlinia_gracilis	extinct	33.9	38
Tadarida	extant	33.9	38
Hipposideros_morloti	extinct	33.9	37.2
Hipposideridae	extinct	33.9	37.2
Rhinolophus_priscus	extinct	33.9	38
Tadarida	extant	33.9	38
Hipposideros_schlosseri	extinct	33.9	37.2
Hipposideros_morloti	extinct	33.9	37.2
Hipposideros	extant	33.9	37.2
Palaeophyllophora_quercyi	extinct	33.9	37.2
Necromantis	extinct	33.9	37.2
Vespertiliavus_gracilis	extinct	33.9	37.2
Vespertiliavus	extinct	33.9	37.2
Vespertiliavus	extinct	33.9	37.2
Stehlinia_gracilis	extinct	33.9	37.2
Stehlinia	extinct	33.9	37.2
Stehlinia	extinct	33.9	37.2
Tadarida	extant	33.9	37.2
Nyctinomus	extinct	15.97	20.44
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.0117	2.588
Chiroptera	extant	0.0117	2.588
Chiroptera	extant	0.126	2.588
Vespertilionidae	extant	3.2	5.333
Chiroptera	extant	2.588	3.2
Chiroptera	extant	2.588	3.2
Vespertilionidae	extant	11.1	12.75
Vespertilionidae	extant	11.1	12.75
Tadarida	extant	11.1	12.75
Megadermatidae	extinct	11.1	12.75
Hipposideros_morloti	extinct	33.9	38
Hipposideros_schlosseri	extinct	33.9	38
Rhinolophus_priscus	extinct	33.9	38
Palaeophyllophora_oltina	extinct	33.9	38
Palaeophyllophora	extinct	33.9	38
Hipposideros_morloti	extinct	33.9	38
Hipposideros_schlosseri	extinct	33.9	38
Hipposideridae	extinct	33.9	38
Rhinolophus_priscus	extinct	33.9	38
Tadarida	extant	33.9	38
Stehlinia	extinct	33.9	38
Nyctalus	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Plecotus_auritus	extant	0.126	0.781
Barbastella	extant	0.126	0.781
Eptesicus	extant	0.126	0.781
Rhinolophus	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Plecotus	extant	0.126	0.781
Barbastella	extant	0.126	0.781
Pipistrellus	extant	0.126	0.781
Pipistrellus	extant	0.126	0.781
Vespertilio_murinus	extant	0.126	0.781
Eptesicus	extant	0.126	0.781
Nyctalus	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.0117	0.781
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Tadarida	extant	0.781	2.588
Archerops_annectens	extinct	11.608	15.97
Hipposideridae	extinct	11.608	15.97
Cambaya_complexus	extinct	47.8	56
Jaegeria_cambayensis	extinct	47.8	56
Shanwangia_unexpectata	extinct	11.608	15.97
Chiroptera	extant	48.6	58.7
Lophostoma_silvicolum	extant	0.0117	0.126
Trachops_cirrhosus	extant	0.0117	0.126
Micronycteris	extant	0.0117	0.126
Phyllostomidae	extant	0.0117	0.126
Rhogeessa	extant	0.0117	0.126
Eptesicus_fuscus	extant	0.0117	0.126
Myotis	extant	0	0.126
Myotis	extant	0	0.126
Eptesicus_fuscus	extant	0	0.126
Myotis	extant	0	0.126
Myotis	extant	0	0.126
Pipistrellus	extant	0	0.126
Eptesicus_fuscus	extant	0	0.126
Myotis	extant	0	0.126
Pipistrellus	extant	0	0.126
Eptesicus_fuscus	extant	0	0.126
Myotis	extant	0	0.126
Eptesicus_fuscus	extant	0	0.126
Myotis	extant	0	0.126
Eptesicus_fuscus	extant	0	0.126
Chiroptera	extant	0	0.0117
Chiroptera	extant	0	0.0117
Myotis	extant	0	0.0117
Myotis	extant	0	0.0117
Antrozous_pallidus	extant	0	0.0117
Tadarida	extant	0	0.0117
Eumops_perotis	extant	0	0.0117
Chiroptera	extant	0	0.0117
Eptesicus_fuscus	extant	0	0.0117
Leptonycteris	extant	0	0.0117
Chiroptera	extant	0.0117	0.126
Myotis_austroriparius	extant	0.0117	0.126
Megaderma_vireti	extinct	8.7	9.7
Rhinolophus_grivensis	extant	8.7	9.7
Rhinolophus_delphinensis	extinct	9.7	11.1
Rhinolophus_grivensis	extant	9.7	11.1
