"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"199442","occ","","","20595","Desmodus magnus","species","45612","subjective synonym of","Desmodus stocki","species","45613","Late Pleistocene","","0.126","0.0117","3567"
"199443","occ","","","20595","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Late Pleistocene","","0.126","0.0117","3567"
"199444","occ","","","20595","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Late Pleistocene","","0.126","0.0117","3567"
"199578","occ","","","20608","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199799","occ","","","20634","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199834","occ","","","20636","Mormoops megalophylla","species","40657","species not entered","Mormoops","genus","40657","Late Pleistocene","","0.126","0.0117","3567"
"212877","occ","","","21686","Eumops dabbenei","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212878","occ","","","21686","Eumops hansae","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212879","occ","","","21686","Molossops greenhalli","species","279373","species not entered","Molossops","genus","279373","Holocene","","0.0117","0","4785"
"212880","occ","","","21686","Molossus molossus","species","48788","species not entered","Molossus","genus","48788","Holocene","","0.0117","0","4785"
"212882","occ","","","21686","Artibeus jamaicensis","species","160956","","Artibeus jamaicensis","species","160956","Holocene","","0.0117","0","4785"
